temp_air,dni,dhi,ghi,wind_speed,rel_hum
-15,0,0,0,2.0,40.0
-16,0,0,0,2.0,40.0
-18,0,0,0,2.0,40.0
-17,0,0,0,2.0,40.0
-15,0,0,0,2.0,40.0
-10,0,0,0,2.0,40.0
-5,0,0,0,2.0,40.0
0,400,100,250,2.0,40.0
4,700,150,450,2.0,40.0
6,850,180,550,2.0,40.0
7,900,200,600,2.0,40.0
5,850,180,550,2.0,40.0
2,700,150,450,2.0,40.0
-2,400,100,250,2.0,40.0
-6,0,0,0,2.0,40.0
-10,0,0,0,2.0,40.0
-12,0,0,0,2.0,40.0
-14,0,0,0,2.0,40.0
-15,0,0,0,2.0,40.0
-15,0,0,0,2.0,40.0
-16,0,0,0,2.0,40.0
-16,0,0,0,2.0,40.0
-15,0,0,0,2.0,40.0
-15,0,0,0,2.0,40.0
